Country Name,Country Code,Year,Progression,SlumPopulation,Region
Albania,ALB,2000,97.25,28.1,Europe & Central Asia
Argentina,ARG,2000,97.69,20.29,Latin America & Caribbean
Azerbaijan,AZE,2000,98.23,50.94,Europe & Central Asia
Belize,BLZ,2000,94.41,15.8,Latin America & Caribbean
Benin,BEN,2000,98.97,71.87,Sub-Saharan Africa
Bhutan,BTN,2000,93.51,57.6,South Asia
Botswana,BWA,2000,95.92,58.69,Sub-Saharan Africa
Brazil,BRA,2000,97.88,34.74,Latin America & Caribbean
Bulgaria,BGR,2000,99.34,0.05,Europe & Central Asia
Burkina Faso,BFA,2000,61.96,82.21,Sub-Saharan Africa
Cambodia,KHM,2000,78.61,84.8,East Asia & Pacific
Chad,TCD,2000,75.69,91.58,Sub-Saharan Africa
Colombia,COL,2000,92.34,21.18,Latin America & Caribbean
Costa Rica,CRI,2000,82.92,12.7,Latin America & Caribbean
Cote d'Ivoire,CIV,2000,67.47,67.08,Sub-Saharan Africa
Croatia,HRV,2000,99.74,0.4,Europe & Central Asia
Cuba,CUB,2000,97.4,2.15,Latin America & Caribbean
Cyprus,CYP,2000,99.53,0.2,Europe & Central Asia
Czechia,CZE,2000,99.97,0.05,Europe & Central Asia
Djibouti,DJI,2000,79.95,76.74,Middle East & North Africa
Ecuador,ECU,2000,70.25,57.41,Latin America & Caribbean
"Egypt, Arab Rep.",EGY,2000,93.33,42.23,Middle East & North Africa
El Salvador,SLV,2000,93.21,1.9,Latin America & Caribbean
Eritrea,ERI,2000,86.32,76.74,Sub-Saharan Africa
Estonia,EST,2000,99.85,0.05,Europe & Central Asia
Eswatini,SWZ,2000,83.88,55.35,Sub-Saharan Africa
Fiji,FJI,2000,98.36,2.22,East Asia & Pacific
Finland,FIN,2000,99.84,0.0,Europe & Central Asia
"Gambia, The",GMB,2000,71.71,56.92,Sub-Saharan Africa
Georgia,GEO,2000,98.42,13.6,Europe & Central Asia
Germany,DEU,2000,99.9,0.0,Europe & Central Asia
Ghana,GHA,2000,85.34,60.37,Sub-Saharan Africa
Guatemala,GTM,2000,94.43,55.5,Latin America & Caribbean
Guinea,GIN,2000,76.98,40.67,Sub-Saharan Africa
Hungary,HUN,2000,99.99,15.4,Europe & Central Asia
Iceland,ISL,2000,99.88,0.0,Europe & Central Asia
"Iran, Islamic Rep.",IRN,2000,92.32,57.6,Middle East & North Africa
Italy,ITA,2000,99.78,0.02,Europe & Central Asia
Kazakhstan,KAZ,2000,98.93,24.46,Europe & Central Asia
Kuwait,KWT,2000,99.62,0.0,Middle East & North Africa
Kyrgyz Republic,KGZ,2000,98.59,47.16,Europe & Central Asia
Lao PDR,LAO,2000,77.86,54.4,East Asia & Pacific
Latvia,LVA,2000,99.47,2.85,Europe & Central Asia
Lesotho,LSO,2000,68.5,62.73,Sub-Saharan Africa
Lithuania,LTU,2000,99.77,4.15,Europe & Central Asia
Madagascar,MDG,2000,62.6,91.44,Sub-Saharan Africa
Malawi,MWI,2000,87.62,81.41,Sub-Saharan Africa
Mali,MLI,2000,77.94,83.88,Sub-Saharan Africa
Malta,MLT,2000,98.47,0.04,Middle East & North Africa
Mauritius,MUS,2000,80.76,76.74,Sub-Saharan Africa
Mexico,MEX,2000,90.63,32.16,Latin America & Caribbean
Moldova,MDA,2000,98.05,26.5,Europe & Central Asia
Mongolia,MNG,2000,97.21,57.6,East Asia & Pacific
Morocco,MAR,2000,87.85,33.15,Middle East & North Africa
Myanmar,MMR,2000,66.13,29.4,East Asia & Pacific
Nepal,NPL,2000,79.65,66.31,South Asia
Niger,NER,2000,49.91,70.04,Sub-Saharan Africa
North Macedonia,MKD,2000,98.82,1.3,Europe & Central Asia
Norway,NOR,2000,99.92,0.0,Europe & Central Asia
Oman,OMN,2000,99.91,4.25,Middle East & North Africa
Paraguay,PRY,2000,92.84,42.03,Latin America & Caribbean
Peru,PER,2000,97.55,47.41,Latin America & Caribbean
Poland,POL,2000,100.0,2.1,Europe & Central Asia
Romania,ROU,2000,99.46,0.0,Europe & Central Asia
Russian Federation,RUS,2000,99.31,3.65,Europe & Central Asia
Samoa,WSM,2000,97.77,4.55,East Asia & Pacific
Senegal,SEN,2000,55.19,67.15,Sub-Saharan Africa
Seychelles,SYC,2000,98.8,76.74,Sub-Saharan Africa
Slovak Republic,SVK,2000,99.49,0.05,Europe & Central Asia
Sweden,SWE,2000,99.92,0.3,Europe & Central Asia
Switzerland,CHE,2000,99.94,0.0,Europe & Central Asia
Syrian Arab Republic,SYR,2000,73.49,30.7,Middle East & North Africa
Tanzania,TZA,2000,19.77,81.33,Sub-Saharan Africa
Togo,TGO,2000,81.94,69.27,Sub-Saharan Africa
Trinidad and Tobago,TTO,2000,97.41,11.06,Latin America & Caribbean
Uganda,UGA,2000,43.94,80.9,Sub-Saharan Africa
United Arab Emirates,ARE,2000,99.95,0.7,Middle East & North Africa
Uruguay,URY,2000,81.47,23.7,Latin America & Caribbean
Uzbekistan,UZB,2000,98.56,29.46,Europe & Central Asia
Vanuatu,VUT,2000,44.93,4.55,East Asia & Pacific
"Venezuela, RB",VEN,2000,98.71,27.82,Latin America & Caribbean
Viet Nam,VNM,2000,93.42,45.32,East Asia & Pacific
Argentina,ARG,2002,96.52,19.57,Latin America & Caribbean
Armenia,ARM,2002,98.21,12.31,Europe & Central Asia
Aruba,ABW,2002,99.83,0.0,Latin America & Caribbean
Azerbaijan,AZE,2002,98.1,44.94,Europe & Central Asia
Belize,BLZ,2002,98.62,15.76,Latin America & Caribbean
Benin,BEN,2002,78.07,71.47,Sub-Saharan Africa
Bermuda,BMU,2002,96.83,0.02,North America
Botswana,BWA,2002,97.77,56.57,Sub-Saharan Africa
Brazil,BRA,2002,96.9,31.43,Latin America & Caribbean
Brunei Darussalam,BRN,2002,90.17,35.79,East Asia & Pacific
Bulgaria,BGR,2002,98.22,0.1,Europe & Central Asia
Burkina Faso,BFA,2002,61.23,76.65,Sub-Saharan Africa
Cabo Verde,CPV,2002,87.73,68.63,Sub-Saharan Africa
Cambodia,KHM,2002,84.81,79.2,East Asia & Pacific
Chad,TCD,2002,83.55,90.46,Sub-Saharan Africa
Comoros,COM,2002,80.22,65.09,Sub-Saharan Africa
"Congo, Rep.",COG,2002,68.66,87.81,Sub-Saharan Africa
Croatia,HRV,2002,99.89,0.4,Europe & Central Asia
Cuba,CUB,2002,98.18,2.15,Latin America & Caribbean
Cyprus,CYP,2002,99.44,0.2,Europe & Central Asia
Czechia,CZE,2002,99.84,0.05,Europe & Central Asia
Ecuador,ECU,2002,73.29,57.85,Latin America & Caribbean
"Egypt, Arab Rep.",EGY,2002,93.29,36.72,Middle East & North Africa
El Salvador,SLV,2002,97.18,49.5,Latin America & Caribbean
Eritrea,ERI,2002,96.56,74.76,Sub-Saharan Africa
Eswatini,SWZ,2002,84.81,55.35,Sub-Saharan Africa
Finland,FIN,2002,99.84,0.0,Europe & Central Asia
"Gambia, The",GMB,2002,91.61,55.12,Sub-Saharan Africa
Georgia,GEO,2002,98.53,13.6,Europe & Central Asia
Germany,DEU,2002,99.76,0.0,Europe & Central Asia
Ghana,GHA,2002,90.57,57.01,Sub-Saharan Africa
Guinea,GIN,2002,70.51,41.5,Sub-Saharan Africa
Hungary,HUN,2002,99.87,14.2,Europe & Central Asia
Iceland,ISL,2002,99.58,0.0,Europe & Central Asia
Indonesia,IDN,2002,81.76,33.47,East Asia & Pacific
"Iran, Islamic Rep.",IRN,2002,97.15,56.79,Middle East & North Africa
Italy,ITA,2002,99.84,0.02,Europe & Central Asia
Kazakhstan,KAZ,2002,99.55,21.67,Europe & Central Asia
Kuwait,KWT,2002,99.18,0.0,Middle East & North Africa
Kyrgyz Republic,KGZ,2002,98.42,42.69,Europe & Central Asia
Lao PDR,LAO,2002,83.1,51.0,East Asia & Pacific
Latvia,LVA,2002,99.8,2.75,Europe & Central Asia
Lebanon,LBN,2002,95.03,92.4,Middle East & North Africa
Lesotho,LSO,2002,78.36,62.73,Sub-Saharan Africa
Lithuania,LTU,2002,99.32,3.7,Europe & Central Asia
Madagascar,MDG,2002,64.77,89.03,Sub-Saharan Africa
Mali,MLI,2002,77.36,79.68,Sub-Saharan Africa
Malta,MLT,2002,99.67,0.04,Middle East & North Africa
Marshall Islands,MHL,2002,86.57,2.2,East Asia & Pacific
Mauritius,MUS,2002,81.65,74.76,Sub-Saharan Africa
Mexico,MEX,2002,93.31,30.45,Latin America & Caribbean
Moldova,MDA,2002,98.36,23.7,Europe & Central Asia
Mongolia,MNG,2002,99.25,53.63,East Asia & Pacific
Morocco,MAR,2002,87.45,30.37,Middle East & North Africa
Myanmar,MMR,2002,70.08,32.61,East Asia & Pacific
Nepal,NPL,2002,87.89,63.42,South Asia
Niger,NER,2002,58.41,70.1,Sub-Saharan Africa
North Macedonia,MKD,2002,97.83,1.3,Europe & Central Asia
Norway,NOR,2002,99.75,0.0,Europe & Central Asia
Oman,OMN,2002,99.32,4.0,Middle East & North Africa
Paraguay,PRY,2002,92.13,39.03,Latin America & Caribbean
Philippines,PHL,2002,97.94,48.57,East Asia & Pacific
Poland,POL,2002,100.0,1.8,Europe & Central Asia
Romania,ROU,2002,99.76,3.65,Europe & Central Asia
Samoa,WSM,2002,97.47,4.55,East Asia & Pacific
Senegal,SEN,2002,55.55,63.6,Sub-Saharan Africa
Seychelles,SYC,2002,99.75,74.76,Sub-Saharan Africa
